sample_date,collection_num,sample_id,target,ct,slope ,y-intercept,copy_num_uL_rxn
2020-06-30,7,CC_7_C,N2,Undetermined,-3.3084,32.416,0.0002
2020-06-30,7,CC_7_C,N2,Undetermined,-3.3084,32.416,0.0002
2020-06-30,7,CC_7_C,N2,Undetermined,-3.3084,32.416,0.0002
2020-06-30,7,MI_7_C,N2,Undetermined,-3.3084,32.416,0.0002
2020-06-30,7,MI_7_C,N2,35.98116302,-3.3084,32.416,0.083635484
2020-06-30,7,MI_7_C,N2,39.0252533,-3.3084,32.416,0.010052662
2020-06-30,7,NO_7_C,N2,37.04083633,-3.3084,32.416,0.040003018
2020-06-30,7,NO_7_C,N2,Undetermined,-3.3084,32.416,0.0002
2020-06-30,7,NO_7_C,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-07,8,CC_8_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-07,8,CC_8_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-07,8,CC_8_A,N2,36.71866608,-3.3084,32.416,0.050057854
2020-07-07,8,CC_8_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-07,8,CC_8_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-07,8,CC_8_B,N2,36.17324066,-3.3084,32.416,0.073169993
2020-07-07,8,MI_8_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-07,8,MI_8_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-07,8,MI_8_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-07,8,NO_8_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-07,8,NO_8_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-07,8,NO_8_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-07,8,MI_8_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-07,8,MI_8_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-07,8,MI_8_B,N2,37.07791901,-3.3084,32.416,0.038983795
2020-07-07,8,NO_8_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-07,8,NO_8_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-07,8,NO_8_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-14,9,MI_9_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-14,9,MI_9_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-14,9,MI_9_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-14,9,MI_9_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-14,9,MI_9_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-14,9,MI_9_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-14,9,NO_9_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-14,9,NO_9_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-14,9,NO_9_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-14,9,NO_9_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-14,9,NO_9_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-14,9,NO_9_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-21,10,CC_10_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-21,10,CC_10_A,N2,37.77200699,-3.3084,32.416,0.024048525
2020-07-21,10,CC_10_A,N2,36.97867584,-3.3084,32.416,0.041771632
2020-07-21,10,CC_10_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-21,10,CC_10_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-21,10,CC_10_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-21,10,MI_10_A,N2,36.36291885,-3.3084,32.416,0.064121063
2020-07-21,10,MI_10_A,N2,35.96951675,-3.3084,32.416,0.084316154
2020-07-21,10,MI_10_A,N2,34.80694962,-3.3084,32.416,0.189369219
2020-07-21,10,MI_10_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-21,10,MI_10_B,N2,34.27371979,-3.3084,32.416,0.274463074
2020-07-21,10,MI_10_B,N2,34.18562698,-3.3084,32.416,0.291817233
2020-07-21,10,NO_10_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-21,10,NO_10_A,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-21,10,NO_10_A,N2,37.08953857,-3.3084,32.416,0.038669804
2020-07-21,10,NO_10_B,N2,Undetermined,-3.3084,32.416,0.0002
2020-07-21,10,NO_10_B,N2,36.29841232,-3.3084,32.416,0.067065399
2020-07-21,10,NO_10_B,N2,36.11449814,-3.3084,32.416,0.076223446
2020-07-28,11,CC_11_A,N2,Undetermined,-3.3084,32.416,0.0002
